                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0401,                 3.5393,                 2.0993,                0.00501,                0.22678,                0.00396,                0.00156,                 2.7314,                    inf,                 3.0812,             0.00054178,             0.00054178,             0.00054178
                      2,                 1.9817,                 2.6027,                 2.0763,                0.00099,                0.20721,                0.00066,                0.00025,                 3.8637,                    inf,                 40.795,              0.0010757,              0.0010757,              0.0010757
                      3,                 2.0367,                 2.6504,                 2.1501,                0.15435,                0.12282,                0.06063,                0.01433,                 3.1552,                  5.456,                 3.6448,              0.0015876,              0.0015876,              0.0015876
                      4,                 1.9939,                 2.5306,                 2.0905,                0.34625,                0.30777,                0.18069,                0.06759,                 2.0036,                 8.7423,                 2.4954,               0.001568,               0.001568,               0.001568
                      5,                 1.9485,                 2.3999,                 2.0568,                0.12066,                0.15252,                0.06819,                 0.0186,                 2.6868,                 3.0628,                 3.1012,               0.001535,               0.001535,               0.001535
                      6,                 1.8836,                 2.3593,                 2.0011,                0.57687,                0.12376,                0.08645,                0.02076,                 2.7973,                 3.0236,                 3.0045,               0.001502,               0.001502,               0.001502
                      7,                 1.9445,                 2.3299,                 2.0471,                0.11424,                0.23267,                0.17319,                0.07293,                 1.9314,                 2.5367,                 2.2716,               0.001469,               0.001469,               0.001469
                      8,                 1.8584,                 2.2011,                 1.9417,                0.21268,                0.40311,                0.25947,                0.06948,                 2.4236,                 2.3407,                 2.7186,               0.001436,               0.001436,               0.001436
                      9,                  1.875,                 2.1443,                 1.9623,                0.65296,                0.20297,                0.15628,                0.06103,                 2.0678,                  2.977,                 2.4052,              0.0014029,              0.0014029,              0.0014029
                     10,                 1.8546,                 2.1787,                 1.9893,                0.67788,                0.23762,                0.22255,                0.08742,                 1.9239,                 2.2898,                 2.2373,              0.0013699,              0.0013699,              0.0013699
                     11,                 1.7966,                 2.1037,                 1.9205,                0.70485,                0.21782,                0.20636,                0.08481,                 2.2736,                 2.3537,                 2.5699,              0.0013369,              0.0013369,              0.0013369
                     12,                  1.773,                   2.07,                 1.8607,                0.80874,                0.25248,                0.31186,                0.11791,                 1.9485,                 2.1227,                 2.2421,              0.0013039,              0.0013039,              0.0013039
                     13,                 1.8123,                 2.0539,                 1.9167,                0.73304,                0.27723,                0.27744,                0.11149,                 1.8064,                 2.3996,                  2.173,              0.0012709,              0.0012709,              0.0012709
                     14,                 1.7631,                 2.0336,                 1.8942,                0.75985,                0.32178,                0.29849,                0.12715,                 1.8988,                 2.1035,                 2.1913,              0.0012379,              0.0012379,              0.0012379
                     15,                 1.7512,                 2.0567,                  1.892,                0.81854,                0.29208,                0.35034,                0.13835,                 1.8935,                 1.9895,                 2.1739,              0.0012049,              0.0012049,              0.0012049
                     16,                 1.7169,                 1.9819,                 1.8604,                0.71547,                0.31683,                0.35063,                0.14406,                 1.9836,                  2.097,                 2.2556,              0.0011719,              0.0011719,              0.0011719
